id;unidade_consumidora;status;mes;valor_cobrado;valor_economia;valor_fatura_concessionaria;porcentagem_economia
25880;43942620;PAGO;2024-01-01;777.14;86.33;896.89;4.9
26030;50877658;PAGO;2024-01-01;780.47;116.63;2884.46;3.08
26091;43100386;PAGO;2024-01-01;161.83;28.54;333.79;5.44
26124;9500499;PAGO;2024-01-01;2342.29;260.26;401.8;8.66
26075;52022320;PAGO;2024-01-01;1455.15;256.79;5063.1;3.79
26174;4002118330;PAGO;2024-01-01;2536.49;264.71;0;9.45
26489;24880;PAGO;2024-01-01;517.13;91.25;224.2;10.96
26484;30930;PAGO;2024-01-01;9449.3;1667.52;2563.17;12.19
26519;12723576;PAGO;2024-01-01;940.27;0;290.62;0
26581;3303659;PAGO;2024-01-01;940.65;93.03;0;9
26662;935132968;PAGO;2024-01-01;1034.51;114.94;0;10
26618;4003514233;PAGO;2024-01-01;1641.64;171.32;0;9.45
27010;265098;PAGO;2024-01-01;229.96;34.36;0;13
25891;1131729;PAGO;2024-01-01;12210.09;1356.67;0;10
26111;6170390;PAGO;2024-01-01;3940.52;695.38;0;15
26072;20965428;PAGO;2024-01-01;1371.33;241.99;4145.29;4.2
26381;11320929;PAGO;2024-01-01;3102.72;306.86;421.63;8.01
26356;29920842;PAGO;2024-01-01;1780.74;176.09;289.67;7.84
26516;4000456463;PAGO;2024-01-01;1744.71;182.07;251.06;8.36
26729;949168636;VENCIDO;2024-01-01;1719.04;190.99;0;10
26604;4000504309;PAGO;2024-01-01;3831.2;399.83;0;9.45
25908;32067590;PAGO;2024-01-01;5351.08;594.56;662.24;9
25823;42803;PAGO;2024-01-01;2737.95;304.22;629.87;8.28
25830;32385079;PAGO;2024-01-01;1949.9;216.64;699.46;7.56
25985;99279738;PAGO;2024-01-01;912.28;90.22;405.51;6.41
26365;6329578;PAGO;2024-01-01;73.33;8.15;116.49;4.12
26521;4000538964;VENCIDO;2024-01-01;938.39;97.93;2347.08;2.89
26588;86465937;PAGO;2024-01-01;2297.24;227.19;0;9
26241;4000436226;PAGO;2024-01-01;353.57;62.38;110.26;11.85
27679;6199925;PAGO;2024-01-01;2545.05;449.12;0;15
25876;42661082;PAGO;2024-01-01;679.34;75.49;1498.8;3.35
25879;23779;PAGO;2024-01-01;679.34;75.49;872.35;4.64
25999;1117173;PAGO;2024-01-01;380.9;42.31;423.44;5
26104;8645680;VENCIDO;2024-01-01;99.59;3.13;100.84;1.54
26114;7741430;PAGO;2024-01-01;538.66;59.85;407.3;5.95
26047;4646193;PAGO;2024-01-01;750.86;132.5;361.62;10.64
26211;67296890;PAGO;2024-01-01;4502.29;500.25;0;10
26377;47713439;VENCIDO;2024-01-01;1292.44;127.83;460.69;6.8
26383;18920344;PAGO;2024-01-01;4395.79;434.74;0;9
26579;77186036;PAGO;2024-01-01;1021.92;101.07;0;9
26550;26288133;PAGO;2024-01-01;217.35;38.34;103.76;10.67
26289;3870847;PAGO;2024-01-01;4122.83;407.75;0;9
26456;57353662;PAGO;2024-01-01;1773.9;235.04;1785.49;6.19
26746;46672054;PAGO;2024-01-01;777.13;86.35;1224.35;4.14
26151;7282389;PAGO;2024-01-01;1511.79;167.97;298.91;8.49
27013;5906725;PAGO;2024-01-01;2502.06;373.87;0;13
28709;42829803;PAGO;2024-01-01;126.51;20.75;0;14.09
28708;30674618;PAGO;2024-01-01;491.38;122.85;0;20
28696;9605126;PAGO;2024-01-01;268.51;67.13;0;20
25809;844489;PAGO;2024-01-01;7311.26;812.36;0;10
25933;26436281;PAGO;2024-01-01;3890.13;432.23;521;8.92
25926;27389236;PAGO;2024-01-01;1983.98;220.44;625.69;7.79
25915;1047175;PAGO;2024-01-01;2622.79;291.42;913.77;7.61
26056;916471;PAGO;2024-01-01;3355.55;592.15;0;15
26296;54387946;PAGO;2024-01-01;1217.03;120.37;272.03;7.48
26684;935050442;PAGO;2024-01-01;901.33;100.15;0;10
26762;31059623;PAGO;2024-01-01;1249.89;138.87;507.52;7.32
26840;4121929;PAGO;2024-01-01;185.51;20.61;0;10
